"A empresa Biscobis Ltda fez uma pesquisa com 100 clientes para avaliar seus serviços, pediu para que cada um deles avaliasse com uma nota os sete quesitos abaixo. Calcule as medidas estatísticas apresentadas para cada um dos ítens abaixo",,,,,,,,,,,,,,
velocidade da expedição,nível de preço,flexibilidade negociação,imagem,serviços prestados,força vendas,qualidade produto,,velocidade da expedição,nível de preço,flexibilidade negociação,imagem,serviços prestados,força vendas,qualidade produto
4.1,0.6,6.9,4.7,2.4,2.3,5.2,,0.455458199,-1.466062966,-0.609970635,-0.431999954,-0.632719829,-0.438392397,-1.020083093
6,0.9,9.6,7.8,3.4,4.6,4.5,,1.881754942,-1.215086709,1.161732311,2.157681531,0.654375994,2.473705528,-1.439163831
4.6,2.4,9.5,6.6,3.5,4.5,7.6,,0.830799447,0.039794573,1.096113683,1.155224182,0.783085576,2.347092575,0.416765152
5.5,1.6,9.4,4.7,3.5,3,7.6,,1.506413694,-0.629475444,1.030495056,-0.431999954,0.783085576,0.447898276,0.416765152
2.4,1.6,8.8,4.8,2,2.8,5.8,,-0.820702045,-0.629475444,0.63678329,-0.348461841,-1.147558158,0.194672369,-0.660871032
3.9,2.2,9.1,5.6,3,2.5,8.3,,0.3053217,-0.127522931,0.833639173,0.319843058,0.139537664,-0.18516649,0.835845891
3.7,1.5,8.6,5.7,2.7,3.7,6,,0.1551852,-0.713134196,0.505546035,0.40338117,-0.246591082,1.334188949,-0.541133678
4.7,1.3,9.9,6.7,3,2.6,6.7,,0.905867697,-0.880451701,1.358588194,1.238762294,0.139537664,-0.058553537,-0.12205294
3.4,2,9.7,4.7,2.7,1.7,6.8,,-0.070019549,-0.294840436,1.227350939,-0.431999954,-0.246591082,-1.198070116,-0.062184263
3.2,4.1,5.7,5.1,3.6,2.9,4.8,,-0.220156048,1.46199336,-1.397394167,-0.097847504,0.911795158,0.321285323,-1.259557801
4.9,1.8,7.7,4.3,3.4,1.5,6.2,,1.056004196,-0.46215794,-0.085021614,-0.766152403,0.654375994,-1.451296023,-0.421396324
5.3,1.4,9.7,6.1,3.3,3.9,5.9,,1.356277195,-0.796792948,1.227350939,0.73753362,0.525666411,1.587414855,-0.601002355
4.7,1.3,9.9,6.7,3,2.6,6.8,,0.905867697,-0.880451701,1.358588194,1.238762294,0.139537664,-0.058553537,-0.062184263
3.3,0.9,8.6,4,2.1,1.8,6.3,,-0.145087798,-1.215086709,0.505546035,-1.01676674,-1.018848576,-1.071457163,-0.361527647
3.4,0.4,8.3,2.5,1.2,1.7,5.2,,-0.070019549,-1.63338047,0.308690152,-2.269838426,-2.177234817,-1.198070116,-1.020083093
3,4,9.1,7.1,3.5,3.4,8.4,,-0.370292547,1.378334608,0.833639173,1.572914744,0.783085576,0.954350089,0.895714567
5.1,1.4,8.7,4.8,3.3,2.6,3.8,,1.206140695,-0.796792948,0.571164662,-0.348461841,0.525666411,-0.058553537,-1.85824457
4.6,2.1,7.9,5.8,3.4,2.8,4.7,,0.830799447,-0.211181683,0.046215641,0.486919283,0.654375994,0.194672369,-1.319426478
5.2,1.3,9.7,6.1,3.2,3.9,6.7,,1.281208945,-0.880451701,1.227350939,0.73753362,0.396956829,1.587414855,-0.12205294
3.5,2.8,9.9,3.5,3.1,1.7,5.4,,0.005048701,0.374429582,1.358588194,-1.434457302,0.268247247,-1.198070116,-0.900345739
2.8,3.8,8.9,6.9,3.3,3.2,8.2,,-0.520429046,1.211017103,0.702401918,1.405838519,0.525666411,0.701124182,0.775977214
5.2,2,9.3,5.9,3.7,2.4,4.6,,1.281208945,-0.294840436,0.964876428,0.570457395,1.040504741,-0.311779444,-1.379295155
4,0.9,9.1,5.4,2.4,2.6,7.3,,0.380389949,-1.215086709,0.833639173,0.152766833,-0.632719829,-0.058553537,0.237159122
5.9,0.9,9.6,7.8,3.4,4.6,4.5,,1.806686692,-1.215086709,1.161732311,2.157681531,0.654375994,2.473705528,-1.439163831
4.9,2.3,9.3,4.5,3.6,1.3,6.2,,1.056004196,-0.043864179,0.964876428,-0.599076178,0.911795158,-1.704521929,-0.421396324
5,1.3,8.6,4.7,3.1,2.5,3.7,,1.131072446,-0.880451701,0.505546035,-0.431999954,0.268247247,-0.18516649,-1.918113247
5,2.5,9.4,4.6,3.7,1.4,6.3,,1.131072446,0.123453325,1.030495056,-0.515538066,1.040504741,-1.577908976,-0.361527647
3.1,1.9,10,4.5,2.6,3.2,3.8,,-0.295224297,-0.378499188,1.424206822,-0.599076178,-0.375300665,0.701124182,-1.85824457
5.8,0.2,8.8,4.5,3,2.4,6.7,,1.731618443,-1.800697974,0.63678329,-0.599076178,0.139537664,-0.311779444,-0.12205294
5.4,2.1,8,3,3.8,1.4,5.2,,1.431345444,-0.211181683,0.111834269,-1.852147864,1.169214323,-1.577908976,-1.020083093
3.7,0.7,8.2,6,2.1,2.5,5.2,,0.1551852,-1.382404214,0.243071524,0.653995508,-1.018848576,-0.18516649,-1.020083093
3.8,0.8,8.7,2.9,1.6,2.1,5.6,,0.23025345,-1.298745461,0.571164662,-1.935685976,-1.662396488,-0.691618303,-0.780608386
2.9,2.6,7.7,7,2.8,3.6,7.7,,-0.445360797,0.207112077,-0.085021614,1.489376631,-0.1178815,1.207575995,0.476633829
5.4,2.5,9.6,5.5,4,3,7.7,,1.431345444,0.123453325,1.161732311,0.236304946,1.426633487,0.447898276,0.476633829
4.3,1.8,7.6,5.4,3.1,2.5,4.4,,0.605594698,-0.46215794,-0.150640242,0.152766833,0.268247247,-0.18516649,-1.499032508
3.1,1.9,9.9,4.5,2.6,3.1,3.8,,-0.295224297,-0.378499188,1.358588194,-0.599076178,-0.375300665,0.574511229,-1.85824457
5.1,1.9,9.2,5.8,3.6,2.3,4.5,,1.206140695,-0.378499188,0.8992578,0.486919283,0.911795158,-0.438392397,-1.439163831
4.1,1.1,9.3,5.5,2.5,2.7,7.4,,0.455458199,-1.047769205,0.964876428,0.236304946,-0.504010247,0.068059416,0.297027799
3,3.8,5.5,4.9,3.4,2.6,6,,-0.370292547,1.211017103,-1.528631423,-0.264923729,0.654375994,-0.058553537,-0.541133678
3.7,1.4,9,4.5,2.6,2.3,6.8,,0.1551852,-0.796792948,0.768020545,-0.599076178,-0.375300665,-0.438392397,-0.062184263
4.2,2.5,9.2,6.2,3.3,3.9,7.3,,0.530526449,0.123453325,0.8992578,0.821071732,0.525666411,1.587414855,0.237159122
5.3,1.7,8.5,3.7,3.5,1.9,4.8,,1.356277195,-0.545816692,0.439927407,-1.267381077,0.783085576,-0.94484421,-1.259557801
5.6,2.2,8.2,3.1,4,1.6,5.3,,1.581481944,-0.127522931,0.243071524,-1.768609752,1.426633487,-1.324683069,-0.960214416
3.6,2.2,9.9,4.8,2.9,1.9,4.9,,0.080116951,-0.127522931,1.358588194,-0.348461841,0.010828082,-0.94484421,-1.199689124
5.2,1.3,9.1,4.5,3.3,2.7,7.3,,1.281208945,-0.880451701,0.833639173,-0.599076178,0.525666411,0.068059416,0.237159122
4.2,2.4,9.4,4.9,3.2,2.7,8.5,,0.530526449,0.039794573,1.030495056,-0.264923729,0.396956829,0.068059416,0.955583244
3.8,0.8,8.3,6.1,2.2,2.6,5.3,,0.23025345,-1.298745461,0.308690152,0.73753362,-0.890138994,-0.058553537,-0.960214416
3.3,2.6,9.7,3.3,2.9,1.5,5.2,,-0.145087798,0.207112077,1.227350939,-1.601533527,0.010828082,-1.451296023,-1.020083093
4.5,1.6,8.7,4.6,3.1,2.1,6.8,,0.755731198,-0.629475444,0.571164662,-0.515538066,0.268247247,-0.691618303,-0.062184263
5.5,1.8,8.7,3.8,3.6,2.1,4.9,,1.506413694,-0.46215794,0.571164662,-1.183842965,0.911795158,-0.691618303,-1.199689124
3.4,4.6,5.5,8.2,4,4.4,6.3,,-0.070019549,1.880287121,-1.528631423,2.49183398,1.426633487,2.220479621,-0.361527647
2.3,3.7,7.6,5,3,2.5,7.4,,-0.895770295,1.127358351,-0.150640242,-0.181385616,0.139537664,-0.18516649,0.297027799
2.1,3.5,7.4,4.8,2.8,2.3,7.2,,-1.045906794,0.960040847,-0.281877497,-0.348461841,-0.1178815,-0.438392397,0.177290445
4.3,2.5,9.3,6.3,3.4,4,7.4,,0.605594698,0.123453325,0.964876428,0.904609845,0.654375994,1.714027808,0.297027799
3,2.8,7.8,7.1,3,3.8,7.9,,-0.370292547,0.374429582,-0.019402987,1.572914744,0.139537664,1.460801902,0.596371183
4.8,1.7,7.6,4.2,3.3,1.4,5.8,,0.980935946,-0.545816692,-0.150640242,-0.849690515,0.525666411,-1.577908976,-0.660871032
3.1,4.2,5.1,7.8,3.6,4,5.9,,-0.295224297,1.545652112,-1.791105933,2.157681531,0.911795158,1.714027808,-0.601002355
4,0.5,6.7,4.5,2.2,2.1,5,,0.380389949,-1.549721718,-0.741207891,-0.599076178,-0.890138994,-0.691618303,-1.139820447
6.1,0.5,9.2,4.8,3.3,2.8,7.1,,1.956823192,-1.549721718,0.8992578,-0.348461841,0.525666411,0.194672369,0.117421768
2.5,1.8,9,5,2.2,3,6,,-0.745633795,-0.46215794,0.768020545,-0.181385616,-0.890138994,0.447898276,-0.541133678
1.8,3,6.3,6.6,2.5,4,8.4,,-1.271111543,0.541747086,-1.003682401,1.155224182,-0.504010247,1.714027808,0.895714567
3.4,5.2,5.7,6,4.3,2.7,8.2,,-0.070019549,2.382239634,-1.397394167,0.653995508,1.812762234,0.068059416,0.775977214
2.7,1,7.1,5.9,1.8,2.3,7.8,,-0.595497296,-1.131427957,-0.47873338,0.570457395,-1.404977323,-0.438392397,0.536502506
1.9,3.3,7.9,4.8,2.6,1.9,9.7,,-1.196043293,0.792723343,0.046215641,-0.348461841,-0.375300665,-0.94484421,1.674007367
1.3,4.2,6.2,5.1,2.8,2.2,6.9,,-1.646452791,1.545652112,-1.069301029,-0.097847504,-0.1178815,-0.56500535,-0.002315586
4,3.5,6.5,6,3.7,3.2,8.7,,0.380389949,0.960040847,-0.872445146,0.653995508,1.040504741,0.701124182,1.075320598
2.8,1.4,8.1,3.8,2.1,1.4,6,,-0.520429046,-0.796792948,0.177452896,-1.183842965,-1.018848576,-1.577908976,-0.541133678
2.4,1.5,6.7,4.8,1.9,2.5,7.2,,-0.820702045,-0.713134196,-0.741207891,-0.348461841,-1.276267741,-0.18516649,0.177290445
2.4,1.5,6.6,4.8,1.9,2.5,7.2,,-0.820702045,-0.713134196,-0.806826518,-0.348461841,-1.276267741,-0.18516649,0.177290445
4.1,3.7,5.9,5.5,3.9,3,8.4,,0.455458199,1.127358351,-1.266156912,0.236304946,1.297923905,0.447898276,0.895714567
3,3.2,6,5.3,3.1,3,8,,-0.370292547,0.70906459,-1.200538284,0.069228721,0.268247247,0.447898276,0.65623986
3.4,3.7,6.4,5.7,3.5,3.4,8.4,,-0.070019549,1.127358351,-0.938063774,0.40338117,0.783085576,0.954350089,0.895714567
2.4,1,7.7,3.4,1.7,1.1,6.2,,-0.820702045,-1.131427957,-0.085021614,-1.517995415,-1.533686905,-1.957747836,-0.421396324
1.8,3.3,7.5,4.5,2.5,2.4,7.6,,-1.271111543,0.792723343,-0.21625887,-0.599076178,-0.504010247,-0.311779444,0.416765152
3.6,4,5.8,5.8,3.7,2.5,9.3,,0.080116951,1.378334608,-1.33177554,0.486919283,1.040504741,-0.18516649,1.434532659
0,2.1,6.9,5.4,1.1,2.6,8.9,,-2.622340036,-0.211181683,-0.609970635,0.152766833,-2.305944399,-0.058553537,1.195057952
2.4,2,6.4,4.5,2.1,2.2,8.8,,-0.820702045,-0.294840436,-0.938063774,-0.599076178,-1.018848576,-0.56500535,1.135189275
1.9,3.4,7.6,4.6,2.6,2.5,7.7,,-1.196043293,0.876382095,-0.150640242,-0.515538066,-0.375300665,-0.18516649,0.476633829
2,2.6,6.5,3.7,2.4,1.7,8.5,,-1.120975043,0.207112077,-0.872445146,-1.267381077,-0.632719829,-1.198070116,0.955583244
3.4,3.9,5.6,5.6,3.6,2.3,9.1,,-0.070019549,1.294675856,-1.463012795,0.319843058,0.911795158,-0.438392397,1.314795306
2.6,4.8,8.2,5,3.6,2.5,9,,-0.670565546,2.047604625,0.243071524,-0.181385616,0.911795158,-0.18516649,1.254926629
4.5,4.1,6.3,5.9,4.3,3.4,8.8,,0.755731198,1.46199336,-1.003682401,0.570457395,1.812762234,0.954350089,1.135189275
2.8,2.4,6.7,4.9,2.5,2.6,9.2,,-0.520429046,0.039794573,-0.741207891,-0.264923729,-0.504010247,-0.058553537,1.374663983
4.9,4.4,7.4,6.9,4.6,4,9.6,,1.056004196,1.712969616,-0.281877497,1.405838519,2.198890981,1.714027808,1.61413869
2.3,4.5,8,4.7,3,2.2,8.7,,-0.895770295,1.796628368,0.111834269,-0.431999954,0.139537664,-0.56500535,1.075320598
1.1,2,7.2,4.7,1.6,3.2,10,,-1.79658929,-0.294840436,-0.413114752,-0.431999954,-1.662396488,0.701124182,1.853613398
1.6,4.5,6.4,5.3,3,2.5,7.1,,-1.421248042,1.796628368,-0.938063774,0.069228721,0.139537664,-0.18516649,0.117421768
2.3,3.7,8.3,5.2,3,2.3,9.1,,-0.895770295,1.127358351,0.308690152,-0.014309392,0.139537664,-0.438392397,1.314795306
3.6,5.4,5.9,6.2,4.5,2.9,8.4,,0.080116951,2.549557138,-1.266156912,0.821071732,2.070181399,0.321285323,0.895714567
3,2,6.6,6.6,2.4,2.7,8.2,,-0.370292547,-0.294840436,-0.806826518,1.155224182,-0.632719829,0.068059416,0.775977214
1,1.9,7.1,4.5,1.5,3.1,9.9,,-1.87165754,-0.378499188,-0.47873338,-0.599076178,-1.79110607,0.574511229,1.793744721
1.6,2.8,6.1,6.4,2.3,3.8,8.2,,-1.421248042,0.374429582,-1.134919657,0.988147957,-0.761429412,1.460801902,0.775977214
2.6,3,8.5,6,2.8,2.8,6.8,,-0.670565546,0.541747086,0.439927407,0.653995508,-0.1178815,0.194672369,-0.062184263
2.5,3.1,7,4.2,2.8,2.2,9,,-0.745633795,0.625405838,-0.544352008,-0.849690515,-0.1178815,-0.56500535,1.254926629
2.4,2.9,8.4,5.9,2.7,2.7,6.7,,-0.820702045,0.458088334,0.374308779,0.570457395,-0.246591082,0.068059416,-0.12205294
2.9,1.2,7.3,6.1,2,2.5,8,,-0.445360797,-0.964110453,-0.347496125,0.73753362,-1.147558158,-0.18516649,0.65623986
1.9,2.7,5,4.9,2.2,2.5,8.2,,-1.196043293,0.29077083,-1.856724561,-0.264923729,-0.890138994,-0.18516649,0.775977214
0.6,1.6,6.4,5,0.7,2.1,8.4,,-2.171930538,-0.629475444,-0.938063774,-0.181385616,-2.820782728,-0.691618303,0.895714567
2,2.8,5.2,5,2.4,2.7,8.4,,-1.120975043,0.374429582,-1.725487305,-0.181385616,-0.632719829,0.068059416,0.895714567
3.1,2.2,6.7,6.8,2.6,2.9,8.4,,-0.295224297,-0.127522931,-0.741207891,1.322300407,-0.375300665,0.321285323,0.895714567
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1.320726384,1.195658814,1.38650203,1.130046928,0.750307008,0.770854832,1.590645317,,0.991446179,1.000273244,0.909803604,0.944019873,0.965717016,0.976002068,0.952298306
